dialogue1|dialogue2
2 86 31|4 86 31
5 203 15 11 8 3864 70 20 492 80 261 11 181 199 44 15 699 3866 486 15 3891 15 6910 44 47 555 6 699|2 191 90 242 622 34 35 865 31
4 53 15 75 114 281 7 2 493 9 190 17106 6|3 191 15 104 20 2829 1673 26 38 2849 176 9 1764 2533 146 6
2 2278 224 472 16041 16025 13230 62|6 62 162 16104 177 461 44 16 358 242 34 4 347 37
2 53 15 7 8 33 45 46 240 4 48 49 552 345 31 358 80 177 456 7 161 23 261 242 48 19 38 2386 26 6 669 242 150 4 34 1154 776 15 12000 6 12001 6|5 86 15 11 358 242 178 344 540 64 31
2 50 37 3118 31|4 53 15 11 83 15 114 478 622 5811 194 261 16 4827 734 71 2546 31
5 3897 21 4 44 24 6|3 191 15 3857 162 296 525 381 16 210 44 31
4 86 15 88 2 374 35 410 492 31|3 86 31 11 161 344 16 75 20 663 31
1 97 15 3920 1378 114 4917 31 54 37 2587 553 71 35 554 4 616 244 16 38 90 312 313 16 46 31 38 3861 59 18 4 5 16 50 2007 3861 458 126 1621 1107 31 287 395 15 3880 8 181 261 3858 431 3936 3045 1 322 23 35 5158 840 14313 7314 31|7 32 15 20 6470 80 20 2763 58 14314 75 47 14315 31 32 15 261 6782 11307 35 253 244 1141 15 120 11032 851 38 945 297 75 88 253 31 16 357 31
3 11 102 6|3 44 16 125 126 44 62 37
7 410 663 31|7 122 6
7 16 129 32 1060 6|7 16 129 6
6 191 3858 13315 525 80 326 13316 88 11 8 717 31 5502 37 35 3299 3692 980 71 918 1573 4 20 13317 12004 104 20 13318 1258 1042 31|3 101 3988 486 16 21 22 701 13 26 31
6 348 50 37 16 17 2110 303 3255 6|1 50 37
4 97 6 3551 6 44 45 16 237 172 16 1092 20 10 37|6 43 7 170 3518 15 38 283 15 38 35 425 2582 94 72 15 622 15 62 2 30 4 34 35 61 175 1806 2 390 6
5 58 88 35 865 37|2 191 15 3858 35 2555 38 105 178 374 347 453 31
7 32 7 2 21 35 2175 37 32 50 37 686 16 17 4663 7 2 458 126 1989 435 38 23 75 870 2725 31|7 57 33 45 34 383 4 44 13 20 1638 88 7 58 449 6669 271 63 893 15 33 62 37
2 38 1160 15 224 1161 80 94 37|4 1160 15 114 1161 80 31 53 6
5 191 15 16 7701 767 25 31|3 86 94
3 58 62 20 8331 37 3858 10113 31|6 97 6
5 53 97 97 97 97 15 11 110 318 4 23 1494 2 4340 6 5612 6537 15 440 151 15 11 385 244 88 146 6 38 11 73 59 555 8019 94 17086 15 3389 15 839 11568 6|7 235 15 16 106 20 4937 297 75 20 5113 31 242 17 10377 16 20 9565 80 2523 17087 31
6 153 86 6 90 665 15 50 491 175 1964 80 20 10151 37|3 10152 31
7 53 94 11 73 74 6|1 1843 6 94 395 94 849 71 37 86 37
2 120 170 70 4964 15 2816 321 15 1819 31|5 191 15 58 1 552 554 16 106 103 734 35 4197 15 4926 381 1877 35 6065 37
4 6767 15 11 1336 31|5 33 57 283 3905 458 126 34 4 500 5018 244 151 37
3 53 15 9245 15 242 178 150 18 31 242 17 18 4 271 9246 31|7 153 15 88 2 640 15 11 318 326 425 482 31
4 330 15 5502 50 37 11 170 162 274 19 555 261 11 757 19|1 274 19 37 382 97 15 3861 59 274 19 6 3861 14899 6 464 35 14900 6
1 16 44 45 34 4 44 383 31 62 322 8 23 4932 320 62 58 20 63 80 240 15 70 2341 15 237 37 16 94 16 774 20 581 13 9 833 80 2217 32 88 105 102 16 17 20 1252 525 38 11 3345 75 13 9 3059 3193 15 32 105 161 344 88 11 73 20 5910 15 16807 15 1761 525 94|5 11 748 11 87 4 654 20 2217 6
4 53 15 86 6 401 503 31 5502 15 57 1847 162 15 7057 71 31 5502 15 57 710 4 23 114 3019 31 86 31 35 206 80 4788 75 230 15 35 206 80 4788 31 320 371 7772 463 445 15 5502 50 8801 181 37 125 126 744 9 4788 37|7 353 395 15 353 35 425 1278 1 31
7 86 31|1 53 15 54 31
7 17883 31|1 344 15 1 129 622 7790 3380 88 34 45 460 6466 17884 31
6 86 15 235 172 44 45 16 189 35 2978 37 57 33 45 10415 16 31|4 242 129 103 244 1154 2829 256 194 222 31
6 191 15 129 552 80 326 64 230 37 6|7 53 15 97 6 6 97 15 97 6
1 191 15 11 44 45 102 31|6 191 15 11 316 45 451 16 31
6 224 8985 31|2 53 15 11 102 15 11 96 1509 7764 4251 31 11 8 176 62 32 114 184 3927 553 71 9059 249 71 5706 767 31
7 11 44 45 102 116 525 15 287 11 44 102 11 353 35 1282 31 32 50 44 16 181 242 189 35 774 15 242 48 789 15 38 242 161 109 57 19 261 242 384 74 37|7 220 37 44 16 1288 37
2 434 435 15 20 3001 10447 2079 5914 31|5 846 15 32 177 1853 6221 129 457 175 16 37 222 276 53 15 16 91 32 640 31
5 191 15 11 176 59 102 88 31|5 62 2 458 126 23 54 15 28 37 11 283 120 2 59 458 126 157 71 37 57 58 15 57 58 7076 31
7 640 15 11 161 344 16 90 31|5 2396 2396 67 35 93 332 108 2959 324 31
4 53 114 221 6 16 162 129 11646 2528 6|4 222 6 154 62 6
6 7999 15 172 3864 11 422 230 38 7105 667 154 62 6|2 54 15 32 50 44 16 15 50 44 16 46 4 44 37 3880 44 24 2617 6
3 7676 6 107 16 500 4986 19 252 3382 38 1023 7592 1400 15 3864 16 34 4 312 292 224 375 644 58 458 126 23 37|5 53 15 3858 1862 31 3858 1862 31 3858 1862 31
3 86 31|1 32 16 559 324 114 327 38 1321 37
7 53 15 88 2 32 94 62 162 58 94 44 242 102 94 37|7 404 15 242 3283 44 15 62 2 18 4 23 94
5 38 16 2186 172 204 58 1062 495 37|2 97 6 162 6 552 443 204 967 35 2818 163 9166 15 38 6022 26 15 38 15633 26 175 20 74 38 105 27 384 435 4 71 38 181 15 10020 15 224 15634 102 50 7336 181 57 444 37 10020 15 1467
4 3280 15 11216 6 38 395 15 2236 395 15 11215 80 20 11214 15 116 11 358 5402 11218 75 20 11215 80 11213 2 2763 31|7 1302 6 50 220 332 11219 11220 230
1 322 23 63 1577|6 88 58 31
1 434 435 31|2 545 62 19 31
7 3861 916 31|3 50 37 6
5 122 3118 11 73 814 6|2 122 15 177 170 224 2942 37
5 86 15 242 21 15 7050 31|6 665 15 11 358 3988 162 15 162 640 94
1 382 31|4 16140 15 254 34 16 460 37 50 596 4 16 37
3 1286 62 37|5 1287 15 59 32 277 31 72 15 101 242 1288 31 1086 1289 221 31
5 32 15 16 131 70 1339 265 244 35 1942 37|2 27 28 31
1 54 236 15 11 348 3988 881 442 11 162 3864 344 20 572 31|3 86 31
5 1 58 3 70 20 7647 80 224 3512 2253 15 991 37|3 40 35 1183 15 16 316 45 48 4 16105 31 346 16 3160 15 287 242 349 21 1573 4 20 16143 1403 881 515 31
5 32 16 11863 224 331 15 244 35 6620 6|3 11 102 62 69 2617 15 287 235 57 58 20 2603 6620 75 20 599 6
5 57 58 59 19 80 20 1747 15 57 58 3823 11179 75 20 79 80 20 1747 31|7 3363 31 56 15 189 62 969 1365 31 5 71 2520 15 16 46 71 4 48 37 72 15
5 86 37|4 86 6
2 53 97 6 114 765 34 96 682 71 4220 6 88 105 102 80 31|5 54 15 6976 20 381 31 3905 458 126 150 16 9 151 38 105 322 96 102 88 3988 4220 31
3 86 15 11 3915 102 16 482 106 18 4 23 230 31|2 382 29 15 130 15 1010 57 31
4 124 6|7 124 6
1 11 358 11 102 555 287 11 349 460 162 25 249 57 146 75 20 2515 15 32 94|1 11 73 203 94 242 94 242 316 45 31
4 53 221 31 16 102 50 37 292 16 358 16 129 37 292 129 16 4 312 50 3126 11 178 241 178 59 150 37|1 292 83 11 37
7 53 15 191 2153 9050 249 20 1017 104 726 1673 15 80 728 16 106 1772 13 26 31 90 11 1378 20 1017 104 88 171 252 170 165 30 15 11 731 16 7045 1772 13 730 1 31 866 15 104 1031 88 302 23 24 31|2 53 114 221 6 176 16 744 88 37 120 7472 71 946 120 2542 3861 410 31
5 32 320 16 46 64 4 344 767 15 90 271 10877 16 17 59 67 767 1166 19 94 181 15 104 20 774 80 16827 37|2 191 15 320 11 87 767 1166 19 15 90 11 302 45 23 615 4 44 57 31 16 70 88 15 28 37
4 105 87 4 34 88 8980 651 37 6|2 62 170 35 5104 244 525 80 20 814 8167 4727 31
3 530 6 16 482 890 4 23 67 35 410 443 31|1 53 86 15 8896 650 31 862 3929 32 277 503 31 38 6 5502 50 37 261 3861 13 47 15 3861 503 6 11 60 7081 435 244 9399 4727 31 3929 2263 75 63 975 15 11 3864 34 4 44 62 31
1 16 110 40 37|4 404 15 853 31 11 302 40 38 40 31 31 31 90 11 110 40 9 269 31
1 27 28 15 11 161 344 16 482 674 31|6 53 15 91 15 7 2 5087 726 1216 217 31
2 32 3858 54 4 61 35 6541 31|1 191 15 59 162 31 11 283 2450 6862 59 1392 20 2047 241 383 15 287 62 58 13094 3025 31 5933 271 88 7856 242 1027 734 186 187 15 13118 4560 13119 31
3 235 15 91 3877 8392 31 3877 1 4 44 35 692 15 8 6841 105 12 453 15 3875 283 3877 458 126 150 453 31 11 283 8 6841 62 596 13 994 6835 38 8710 9865 15 62 3875 283 3858 458 126 1993 13 767 31|1 6909 15 9866 9867 38 6774 6775 31
6 11 34 14370 6709 31 2028 6 53 6|2 236 15 224 14370 58 28 230 31
4 222 91 6 11819 6 230 58 88 675 88 11 1471 31|2 16 21 62 194 9704 670 37 6
7 97 88 2 59 1488 31 88 58 59 1488 31|2 53 86 31
1 75 1638 15 11 161 3045 16 4989 2703 88 16 316 45 48 20 379 444 801 541 503 80 240 31 3300 15 282 50 15 111 754 37 35 515 31|5 11 161 189 88 3045 114 1076 31 38 16 102 50 15 5018 71 20 4989 2703 463 23 20 11357 381 16 44 88 390 6 699 38 62 99 28 101 6
4 852 71 31|3 50 37
1 11 44 45 102 50 94 16 17 578 249 31|5 162 37
1 3903 10071 3988 6765 1250 10072 103 104 71 31|3 54 15 204 15 10073 15 91 28 230 31 3903 1877 35 10074 15 54 37 3858 293 70 35 7251 31
4 53 62 170 1910 6 11 283 62 162 2287 70 7 170 114 1076 217 31|5 50 865 176 16 5 26 16 87 37
7 3822 31|5 3822 31 3861 578 4 3822 15 32 94 31
1 88 2 1252 15 946 16 102 15 16 129 35 1918 2458 6|7 235 15 242 349 460 230 244 303 251 291 57 6 101 528 15 62 2 969 31
4 32 419 15 176 16 34 503 104 20 7592 1673 186 187 37|5 53 86 15 86 6 91 50 11 21 15 91 50 11 21 31 344 15 120 2 6466 1646 15 28 37
7 239 15 7 170 75 224 18149 37|1 62 2 460 5252 567 287 20 2584 18150 622 1159 31
3 3068 17022 15 3068 17022 15 3068 17022 31|6 1843 15 1843 15 2396 153 15 382 6606 18747 175 20 2117 15 975 80 1154 1155 265 29 2296 31 265
2 382 236 31 382 15 5 71 50 16 358 31 27 28 31 20 1757 881 2235 4 20 525 88 242 17 6164 75 18083 37 8 51 175 20 10555 31 11 125 126 189 35 91 104 62 15 287 235 33 45 31|5 242 903 18379 961 15 32 1211 232 1757 210 296 9150 240 15 38 242 17 5227 9077 31 242 17 59 165 4197 31
5 53 15 176 16 150 88 194 20 764 318 220 265 4320 37|1 16 622 175 88 37
7 242 44 513 946 88 6548 16 35 2632 7941 554 88 104 1031 525 322 476 31|6 3903 62 6 2632 763 37 88 1239 3903 3858 70 9776 763 554 80 97 1059 104 27 6
1 27 28 9966 15 464 277 464 11 318 16 15 11 73 203 15 11 316 45 1876 4 3078 801 5073 31|7 11 560 88 302 23 2719 31
7 27 28 15 11 21 4 1942 31 5 222 11 181 2477 31 38 94 11 161 344 16 674 15 4681 31|5 40 6 11 8 46 16 4 102 88 94 11 73 32 166 16 17 18 4 23 230 31
5 38 20 407 80 3024 58 3025 240 31|3 278 70 88 97 61 2866 381 1597 19 31
6 116 525 44 16 34 37|2 11 44 45 1520 31
4 53 15 384 175 6 16 358 3903 458 126 12 175 71 37 6 11 8198 88 6|7 28 6 287 15 11 83 203 31
6 5502 15 11 13103 3864 358 3858 16 31 57 58 35 1894 1556 31 382 6 482 6 53 97 15 3858 16 31|7 86 31
4 53 86 37 606 261 37|7 606 147 94 11 83 18 4 23 35 1059 17832 31
2 32 15 40 15 16 162 176 70 114 1666 37|7 53 15 86 15 105 106 32 3614 15 162 1417 16 5478 31
6 419 6 191 6 1 16 48 6 186 4 102 217 6 38 11 73 305 94 606 1860 183 71 94 57 58 2421 31|4 419 15 2421 15 57 58 236 31
5 382 31|3 32 395 15 50 129 16 482 291 37
3 53 97 97 97 97 97 94 62 170 45 94 62 170 45 946 80 224 354 743 15 62 170 244 24 244 47 31|5 50 37
4 97 15 11 358 88 170 20 379 27 31|1 54 31 54 31 54 31
6 17061 6 159 15 11 316 45 189 62 1865 6 11 73 1337 303 570 4 57 6|4 53 15 320 120 11855 15 11 150 47 1573 31
4 162 37 6|6 11450 31
5 382 15 88 2 59 410 31 210 11 150 303 1947 38 35 1948 431 230 15 392 37|7 242 21 20 1949 74 194 88 1950 1040 15 16 102 15 20 525 13 20 425 1951 31 288 15 105 190 277 1952 15 32 15 11 1953 324 20 1153 80 20 390 15 38 11 51 1319 94 94 38 11 21 16 15 11 73 103 15 11 73 103 15 11 73 103 15 11 21 16 94
4 86 15 245 514 31|6 114 405 15 263 408 31
6 148 15 16 482 15 237 88 1762 3692 11 183 16 249 37 11 840 26 31|4 254 37 6
3 32 11 210 44 62 37|5 86 16 210 44 62 31
5 91 16 34 4 82 11 3864 358 80 16 464 35 11174 15 488 195 31 344 57 58 525 80 360 88 11 210 6697 244 674 6 91 15 50 11 283 58 3988 222 6 54 37 38 11 83 75 318 13 222 31|2 173 18 31
7 97 15 57 58 35 5060 31|7 11 73 203 16 87 4 44 57 271 883 31
1 191 15 287 15 16 102 15 242 34 35 206 75 2448 15 16 102 15 16532 7 2059 20 14728 15 11 1837 9388 75 2341 15 241 15 3866 460 556 15 11 34 9 3607 75 88 3158|4 86 37
5 16 129 32 640 6 11 318 16 6|2 50 37
4 53 114 221 6|7 38 62 58 1458 261 765 452 1062 1059 175 20 93 94
7 53 114 91 104 88 31 296 918 1685 4 48 15 101 34 16 2792 224 15756 754 37 101 11 3864 46 16 4 1975 224 10606 6841 62 302 8 824 47 2323 31|4 53 191 457 458 126 1975 35 15756 38 395 15 11 3864 60 34 35 10606 31
3 235 31 322 16 344 320 224 184 210 553 114 5970 4 14826 9735 37 6841 320 11 210 150 75 35 2017 870 90 11 6982 493 62 27 15 8429 15 6161 15 38 690 31 20 296 358 168 302 23 5691 15 38 3903 8 244 955 64 31|5 50 2709 1321 44 16 1509 37
6 242 17 2391 75 453 6 58 45 62 640 6 5917 6|7 653 6 11918 6
4 221 6 38 4 34 4 744 249 62 194 6767 6 6|1 384 175 6 70 11 1171 26 4 5 16 15 11 1027 27 431 20 1556 876 4 654 239 88 3915 1993 6
2 382 31|1 382 6 177 461 432 8445 2907 37
5 53 86 15 3903 165 30 31 669 15 5502 105 106 1375 38 3877 555 136 31|5 53 31 53 15 221 6
7 177 210 11 451 16 37|1 122 15 11 170 289 320 62 58 1406 4 13851 2363 75 20 2793 5320 37 344 533 928 35 3056 435 1 38 95 80 2691 62 64 10147 191 15 2255 141 75 965 80 62 31
1 50 15 50 53 94 31|7 2814 242 37 222 276 62 2 59 458 126 1993 31 105 17 291 62 402 15 242 210 44
3 53 31 203 6|5 5036 15 282 50 37 11 162 178 45 34 228 88 16 106 3082 71 15 11 283 88 162 170 45 1486 31 38 320 62 967 16 131 552 111 15 11 349 87 35 162 2828 390 31
5 1799 31|3 11 622 3888 2023 35 1571 244 224 250 754 31
4 282 94|6 9286 9287 129 9286 31 9286 92 20 1739 31 9286 9287 129 9286 15 2263 425 7962 31 33 62 60 12 801 114 1761 2693 37
4 848 15 62 170 393 6 862 20 4337 574 51 32 191 15 282 37 11 60 651 26 1813 31 7 228 24 249 35 258 38 11 170 70 15 9950 15 86 6 320 16 349 21 648 331 7864 6 699 2362 71 15 62 170 457 15 62 170 165 1252 31 288 15 32 242 106 340 2760 38 848 6|3 50 596 37
1 53 15 11 293 170 15 6890 11 37|7 53 114 221 6
1 382 15 11 744 120 2 213 217 15 1421 358 11 178 504 47 19 37|5 129 16 1915 11945 4 774 20 2866 37
4 122 29 6 50 129 16 291 230 37|3 3275 15 191 3871 21 303 3715 92 20 1739 38 11 8562 2751 27 431 20 965 80 114 3597 31 16 21 303 1312 525 37
7 172 59 37 3960 18 175 37|6 3866 8 876 4 870 29 177 277 7 1239 4 26 31
2 395 991 31 371 360 1993 31 11 283 62 2 8 35 2033 15 62 2 59 70 1494 2517 31|6 62 2 72 94 16 210 16590 31
7 382 15 462 31|2 177 2 62 18 37
1 191 665 15 53 6 11 229 23 5617 232 2687 57 12872 6|4 86 44 62 101 15 193 28 101 31
4 114 770 87 303 472 1213 94 94 657 11 170 104 10333 16025 5814 31|1 53 114 221 31
3 11 44 45 102 15 11 73 8 1849 265 4 451 16 19 31|5 16 161 344 15 16 482 129 27 458 126 48 324 38 150 216 15 38 11 73 458 126 570 435 158 31 322 16 1363 71 24 37 261 16 17 216 15 322 16 2218 71 431 244 1525 37
5 5 47 15 11 73 5480 15 38 11 322 11702 6|6 97 15 1 2 97 1250 230 37
7 152 15 344 16 104 20 1673 31|2 54 15 640 6
5 38 101 3988 1177 71 20 4222 6|1 113 19 767 9966 58 8 2617 249 994 31 86 15 3877 18 4 20 2290 453 6 3877 18 4 65 6 3877 18 4725 4726 6
5 54 15 330 15 177 947 83 11 458 126 34 4 48 13 47 37|2 56 15 8650 2 458 126 553 75 526 107 16 44 6
7 320 16 34 20 443 15 11 110 162 2720 20 451 31|4 1843 15 2365 94 17364 2 3503 6 6
1 27 28 15 11 21 22 189 324 31 11 73 1350 435 5073 90 242 17 324 4 20 226 3715 31|2 62 2 458 126 23 118 4 528 9 681 3529 4 23 5073 2 185 31
3 3275 15 4285 15 3275 15 11 73 35 6207 38 88 170 7916 35 577 80 15 395 15 395 15 18626|7 97 15 97 97 97 15 16 44 45 34 4 5 71 383 31 16 44 45 34 4 2136
7 530 6|3 86 31
1 287 15548 37 6|3 86 15 287 3858 59 35 226 1056 31
6 11 3997 749 3988 458 126 504 222 4 317 16 6|5 11 102 31
5 88 2 59 1252 31|3 88 2 59 1252 104 27 6
2 53 114 221 6 16 2157 6 91 104 371 2159 6 16 176 20 2158 6 53 15 11 34 460 11163 16 244 1577 38 16 176 6 16 2157 6 38 15066 1227 6|5 5502 395 15 11 3915 457 44 57 31
6 153 6 11 102 50 16 463 654 6 11 102 6 53 15 16 178 1764 654 88 381 94 16 102 15 13 20 146 37 16 102 15 88 381 94 13 20 146 94 37 1843 15 11 44 45 102 31|1 382 482 15 33 730 102 35 410 61 1556 75 20 3720 37
6 530 15 3903 903 31 6825 1065 37|7 1583 6828 31
2 382 6|5 5502 7427 162 620 242 1515 59 4 701 453 107 20 252 31
3 3858 111 6 16 3997 48 4 35 1042 75 224 1927 6|5 191 15 16 463 15 287 94 374 8 20 525 443 31
7 525 1335 31|5 11 3864 358 57 4212 58 226 648 244 667 80 240 4 56 75 31 1780 6 6
2 54 15 230 861 232 3001 31|1 28 31 97 12673 31 347 2771 31
4 191 14536 3864 6509 62 6 8 1621 2622 104 1031 6|2 54 31 203 31
7 3861 59 239 754 31 172 3915 16 8 5 71 249 27 57 37|1 946 3960 18 175 13 220 332 3 4 44 13 177 11 131 249 16 31
6 86 15 11 73 19 31|7 11 161 1621 836 6
6 1843 15 598 4 20 19028 31|2 236 31
5 176 16 5 47 50 242 1181 249 37|3 86 94 31
7 97 31|1 97 37
2 53 15 8 32 16 102 15 1198 34 4 149 26 3575 31|1 86 31
5 244 35 1183 1 11 748 16 106 457 1849 265 4 897 24 31|1 88 58 32 410 6 44 62 217 6
5 382 6 16 54 37|3 153 15 24 5811 6
5 969 244 16 4 181 2143 7105 23 325 35 963 31|2 27 28 15 50 249 20 1413 10 37
7 32 620 16 1432 132 31|4 132 37 11 1432 64 31 279 13413 15 57 58 236 31 236 15 57 58 279 13413 31 3866 20 281 80 114 2661 31
1 53 15 384 175 15 408 15 7 2 35 10 6|4 32 6532 37 7 2 1905 15 7 2 8984 31 553 71 525 410 1554 242 178 45 357 26 19 31
1 15094 37 15094 37 15094 37|3 382 204 6 330 15 44 16 46 4 48 344 88 454 15095 2199 175 15096 15097 37
6 614 15 53 15 11 21 16 35 1570 2516 31|7 53 15 530 6 16 2728 6 53 6 62 2 35 3824 4073 4074 6
3 11 73 4112 265 3886 402 31 62 2 47 1570 31|1 4113 31 50 249 236 2 1570 37
2 191 15 50 596 37|6 191 15 7 778 75 244 35 3299 15 38 851 170 159 432 31
7 44 45 1978 31 11 2134 7 110 23 54 13 16 946 162 15 7 2 54 13 2135 31|5 2135 37 1 2 15 1 2 303 2135 37
4 4008 23 28 74 2652 31|7 239 31
6 54 31 7399 6 88 525 3875 91 165 2269 31|3 53 15 3903 15 3903 419 15 525 80 20 1217 4251 15 3866 8 377 62 4 20 74 31
4 50 37|1 88 2 59 35 381 6
5 54 6 101 16 347 19 230 15 38 16 358 249 50 16 176 6 6|1 3903 35 5153 31
1 50 37 382 15 382 15 18556|2 53 114 221 6 204 15 16 302 45 749 20 1762 425 3719 20 1068 129 541 31 330 31
6 86 15 86 31 7 9055 4 44 20 381 7 5733 525 186 443 31|7 54 15 27 28 94 150 797 2050 6
5 54 15 3861 59 458 126 34 525 31|1 2485 322 11 31
1 53 15 16 17 94|2 72 15 230 242 48 31 242 349 21 3739 4292 38 4293 4294 31
7 382 31 3886 228 120 168 47 338 31|6 53 31
6 191 11 3864 15 11 3864 34 35 115 32 2772 11 1112 88 540 64|2 53 553 62 35 1153 6
6 410 1707 31|4 2396 3302 94 37 254 37 254 129 16 18 37
3 3858 59 8 20 146 7 2959 244 15 11 283 6862 851 31 5502 37 7 1038 3847 13 71 31 1224 51 13 71 175 1906 261 11 170 162 1085 15 38 90 7 14388 71 867 11 3915 150 2306 88 11 162 1171 31 16 284 5488 75 71 644 31 60 15 60 261 11 3915 749 75 128 31|5 11 284 169 16 106 458 126 654 62 31 3861 32 2027 80 16 31
2 3858 54 15 6841 282 50 37 16 3864 162 353 71 244 20 2725 31|6 3988 20 2673 6 13 19 16 3858 8 71 8240 435 4 7725 8542 13 4743 7369 38 1915 244 354 6
1 382 15 3857 395 15 9 64 789 15 13958 249 1720 31|2 191 15 3877 8 458 126 34 4 40 6918 105 37 3871 296 21 63 2945 6 6
5 191 3858 293 775 4 23 1037 13 6205 946 80 726 3079 4639 38 20 1638 88 3866 59 401 31|1 6436 15 241 11 463 879 114 12774 431 230 815 6
6 18535 6 245 2703 31 1 129 3586 75 20 4847 18536 31|6 7329 6
2 11 44 45 102 6|7 2760 31
7 6119 15 50 2 1339 265 175 15 991 37|7 11 83 458 126 357 38 1336 3113 31
2 53 31 346 1777 1778 31|4 53 392 15 105 17 67 68 31
7 11 1657 15617 12558 15 244 2354 31|6 50 37 6
2 191 15 3871 2169 851 31 11 553 435 31 11 348 3861 59 458 126 23 20 184 292 967 20 3998 375 1664 1666 31 11 44 654 20 375 5153 13651 13 13652 13653 31 677 318 88 28 31|1 1842 15 13654 15 384 175 3901 1 552 9786 88 302 34 20 9462 37 50 249 15 50 249 224 2344 37
5 191 15 88 2 1425 15 210 16 1571 217 15 392 37|1 1571 217 392 6
2 11 8 1027 734 9174 38 7 183 71 88 16 1953 26 324 6 11 283 15 16 330 4 71 6 101 15 11 73 1197 20 3112 6 11 181 16 157 204 158 38 48 150 9174 6 50 20 167 106 16 876 4 44 37|4 191 15 10803 15 11 170 876 282 15 533 1171 5 26 282 15 88 11 73 622 75 318 13 26 31
4 223 221 31|2 11 348 29 170 28 15 62 33 3 31
6 86 15 191 6849 2740 2249 1982 15 287 282 15 7 332 969 4760 4 35 206 80 8663 31|2 32 90 15 129 16 18 4 1477 1133 37
3 382 15 86 6 90 242 463 44 88 5531 381 6 282 15 16 34 35 210 15 242 34 35 210 38 62 2 4199 271 35 370 6|5 241 242 210 44 20 2762 5531 381 31
7 222 6 235 6|5 6436 15 382 6 11 3864 102 172 11 176 88 6
5 32 15 292 2 435 244 35 226 1403 80 3473 37|7 91 15 11 395 15 11 3474 384 31 533 110 111 150 18 15 11 44 45 125 126 847 20 186 3475 31
5 191 15 57 58 2489 31 32 15 395 15 50 58 62 249 71 37|6 11 1212 15 43 16 17 1905 15 16 17 1252 94
5 191 15 11 2137 11 110 34 4 181 16 6 6 287 15 50 320 242 17 2578 35 2199 75 230 37|2 116 242 129 15 862 242 921 2959 244 62 31 62 2 114 469 6
6 1 242 13232 102 50 15 320 242 106 75 783 15 16 482 302 23 15 70 15 114 12306 31|3 54 15 6505 31 230 62 58 31 16 5479 114 2040 15 11 73 325 851 16 776 31
4 94 62 2 293 775 866 6|1 86 31
2 302 45 5727 47 19 80 735 31 97 269 7526 244 71 6|3 382 408 15 32 210 11 2008 166 1570 4 16 101 37
1 54 15 11 176 45 102 16 302 181 88 31|4 204 6 1859 37 6
6 191 15 346 7 3927 23 320 120 3915 879 20 3674 814 945 187 6|1 191 15 849 47 244 1264 50 120 1015 4 44 13 47 331 6
6 122 31|6 2042 6 11 293 1358 62 31
5 11 11 11 102 31 3988 28 31 11 125 126 344 16 555 31 3871 8 21 4 109 19 35 526 4 5 29 31 3866 162 103 5751 4 57 31|2 5 26 16 3888 682 224 2253 75 35 461 443 31 5 26 88 67 35 16608 562 58 162 2719 31 5 26 88 50 425 443 88 242 34 58 2833 31
1 13 20 4829 37 7 2 2351 20 16194 31|7 530 15 32 224 939 58 35 226 2170 80 20 16193 2688 555 37
1 191 346 15 16 102 15 346 242 178 347 244 525 2007 31|5 86 15 11 283 15 62 302 23 5710 4 767 244 240 4 157 101 31
2 88 170 35 250 303 251 37|5 62 2 224 7328 31
2 191 15 88 170 118 31 16 106 182 15 38 11 170 2004 31|5 11 358 242 1093 34 162 493 62 57 443 31
7 62 2 32 30 4 108 1102 16 6|6 38 16 94 224 814 58 2623 31
4 191 15 124 15 279 220 6|4 40 6 54 6
2 1843 15 20 777 297 2 1401 19020 3417 58 15 19021 15 224 1673 811 31 265|7 53 97 15 153 15 153 15 176 1494 1112 4 1975 35 2187 37
6 11 3997 31 11 3997 31 120 1092 71 15 11 283 11 84 6041 47 38 90 525 390 62 170 7020 15 1919 7823 1587 31 282 50 20 7824 574 58 15 261 242 106 1028 453 15 88 170 70 20 1401 503 3871 532 87 75 70 27 114 1155 31|7 114 375 1321 15 32 410 4 71 31 11 1509 767 6650 31 92 104 20 2563 15 7825 75 20 3270 31 3864 1520 50 64 181 31 114 7826 375 1037 15 7827 4 20 570 31 13 767 3861 525 2189 7828 31 866 1108 525 187 15 59 277 1776 15 11 94 31
2 395 236 37|6 86 15 181 114 416 31 181 62 6 38 101 3861 18 4 2502 16 74 435 15 38 665 3905 96 291 57 217 31
6 384 175 75 6|6 32 177 170 20 439 37
5 172 37|4 235 15 6918 16 1479 249 50 4 150 222 244 2829 37
5 86 31|3 191 15 3988 9441 6824 23 111 31 3929 59 114 1908 1865 31
2 88 2 118 31 11 349 87 20 429 202 80 5137 464 16 38 11 44 45 131 383 104 27 31|5 6441 94 16 871 67 503 37
2 91 15 482 15 16 316 45 44 57 15 62 2 8 18 4 654 440 431 1563 540 15 88 277 968 31|6 59 320 3 2518 31 172 316 45 94 172 316 45 242 8 459 19 464 1037 37
2 86 31|3 53 86 37 204 15 177 1853 9766 168 75 88 2710 37
4 6436 15 16 482 53 7329 435 15 150 9 15 3857 35 379 2043 789|7 2477 1179 31
3 53 6 53 6|3 124 6 53 86 6 62 2 20 2312 2851 2143 204 452 240 92 464 11118 31 204 58 20 2603 10 16 161 532 1102 6 86 15 7 2 165 11119 31
